module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
927,8,2,8,2,52,0.930586,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.500000,0.125000,0.50000000000000000000,0.23423423423423423423,0.50000000000000000000
928,6,1,6,1,10,\N,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.166667,1.00000000000000000000,0.37777777777777777778,1.00000000000000000000
929,17,5,17,6,78,0.291818,0.117647,0.058824,0.117647,0.058824,0.058824,0.000000,0.117647,0.470588,0.50000000000000000000,0.32928046218487394958,0.44871794871794871795
930,5,3,5,3,23,\N,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.50000000000000000000,0.50000000000000000000,0.43478260869565217391
931,9,3,9,4,24,\N,0.333333,0.000000,0.111111,0.000000,0.000000,0.000000,0.333333,0.222222,0.50000000000000000000,0.37222222222222222222,0.41666666666666666667
932,7,2,7,2,18,\N,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.428571,0.285714,0.60000000000000000000,0.58000000000000000000,0.55555555555555555556
933,5,2,5,2,8,\N,0.200000,0.000000,0.200000,0.000000,0.200000,0.000000,0.400000,0.000000,0.66670000000000000000,0.33333333333333333333,0.75000000000000000000
934,10,4,8,7,31,\N,0.400000,0.000000,0.100000,0.200000,0.000000,0.000000,0.000000,0.300000,0.36360000000000000000,0.31904761904761904762,0.35483870967741935484
935,8,4,8,5,34,\N,0.500000,0.000000,0.000000,0.125000,0.000000,0.000000,0.250000,0.125000,0.37500000000000000000,0.38015873015873015873,0.41176470588235294118
936,4,2,4,2,12,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.66670000000000000000,0.57777777777777777778,0.83333333333333333333
937,9,2,9,2,8,\N,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.444444,0.333333,0.66670000000000000000,0.24444444444444444444,0.75000000000000000000
938,5,2,4,2,8,\N,0.200000,0.000000,0.000000,0.200000,0.200000,0.000000,0.400000,0.000000,0.66670000000000000000,0.36666666666666666667,0.75000000000000000000
939,5,2,5,3,16,\N,0.400000,0.000000,0.200000,0.000000,0.000000,0.000000,0.400000,0.000000,0.50000000000000000000,0.43333333333333333333,0.62500000000000000000
940,4,1,4,1,6,\N,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,1.00000000000000000000,0.36666666666666666667,1.00000000000000000000
942,4,1,4,1,6,\N,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,1.00000000000000000000,0.36666666666666666667,1.00000000000000000000
