module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1711,3,0,3,1,0,,0,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,0.00000000000000000000,FALSE
1712,4,1,4,1,87,,0,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,1.00000000000000000000,0.48387096774193548387,1.00000000000000000000,FALSE
1713,4,1,4,1,116,,0,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,1.00000000000000000000,0.48387096774193548387,1.00000000000000000000,FALSE
1714,7,2,7,2,1240,0.858247,0,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.571429,0.60000000000000000000,0.43993230046360976152,0.81854838709677419355,FALSE
1715,17,3,17,3,472,,0,0.117647,0.000000,0.058824,0.000000,0.000000,0.000000,0.117647,0.705882,0.50000000000000000000,0.37525183150183150183,0.50000000000000000000,FALSE
1716,3,1,3,1,3,,0,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,FALSE
1717,3,1,3,1,87,0.578795,0,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000,FALSE
1718,14,4,14,4,880,,0,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.571429,0.37500000000000000000,0.26123876123876123876,0.50000000000000000000,FALSE
1719,5,1,5,1,34,0.977418,0,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000,0.400000,0.200000,1.00000000000000000000,0.36666666666666666667,1.00000000000000000000,FALSE
1720,7,2,7,2,218,,0,0.142857,0.000000,0.142857,0.000000,0.142857,0.000000,0.285714,0.285714,0.50000000000000000000,0.29824561403508771930,0.50000000000000000000,FALSE
1721,23,8,23,8,6669,0.887941,0,0.130435,0.000000,0.000000,0.086957,0.043478,0.000000,0.043478,0.695652,0.55170000000000000000,0.30508530968889025155,0.57025041235567551357,FALSE
1722,9,2,9,2,13,,14,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.111111,0.66670000000000000000,0.21875000000000000000,0.53846153846153846154,FALSE
1723,5,1,5,1,72,0.766165,0,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,1.00000000000000000000,0.35000000000000000000,1.00000000000000000000,FALSE
1724,5,1,5,1,7,,14,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,1.00000000000000000000,0.35000000000000000000,1.00000000000000000000,FALSE
1725,11,3,11,3,6,,0,0.181818,0.090909,0.000000,0.000000,0.000000,0.000000,0.363636,0.363636,0.50000000000000000000,0.20000000000000000000,0.33333333333333333333,FALSE
1726,13,6,13,6,102,0.731598,0,0.384615,0.076923,0.000000,0.000000,0.000000,0.000000,0.230769,0.307692,0.16670000000000000000,0.22916666666666666667,0.47058823529411764706,FALSE
1727,22,7,22,6,253,0.365860,0,0.181818,0.000000,0.000000,0.090909,0.000000,0.045455,0.045455,0.636364,0.54550000000000000000,0.24020297108872205149,0.41106719367588932806,FALSE
1728,10,4,10,4,28,,20,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.300000,0.25000000000000000000,0.25366300366300366300,0.25000000000000000000,FALSE
1729,10,4,10,4,28,,23,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.300000,0.25000000000000000000,0.25366300366300366300,0.25000000000000000000,FALSE
1730,17,4,17,4,314,0.616967,0,0.235294,0.000000,0.000000,0.000000,0.000000,0.000000,0.235294,0.529412,0.37500000000000000000,0.17608517608517608518,0.42675159235668789809,FALSE
